Qubit;Pair;T1 (µs);T2 (µs);f1QRB;f1QRB std err;f1Q sim. RB;f1Q sim. RB std err;fActiveReset;fRO;fXY;fXY std err;fCZ;fCZ std err;Avg T1 (µs);Avg T2 (µs);Avg fActiveReset;Avg fRO;Date;;
;26--27;;;;;;;;;0,9882;0,003832;0,9846;0,002796;;;;;Invalid date;0,97298172;1,07143E-05
;10--17;;;;;;;;;0,9764;0,005006;0,9859;0,003848;;;;;Invalid date;0,96263276;1,92631E-05
;31--46;;;;;;;;;0,9642;0,007414;0,9884;0,001986;;;;;Invalid date;0,95301528;1,47242E-05
;25--26;;;;;;;;;0,9687;0,005149;0,9827;0,003913;;;;;Invalid date;0,95194149;2,0148E-05
;10--11;;;;;;;;;0,9793;0,003857;0,9707;0,004392;;;;;Invalid date;0,95060651;1,69399E-05
;44--45;;;;;;;;;0,9776;0,003983;0,9643;0,007948;;;;;Invalid date;0,94269968;3,16569E-05
;11--26;;;;;;;;;0,9689;0,006051;0,9672;0,007024;;;;;Invalid date;0,93712008;4,25022E-05
;5--6;;;;;;;;;0,9603;0,005575;0,9486;0,01209;;;;;Invalid date;0,91094058;6,74018E-05
;32--33;;;;;;;;;0,9664;0,007135;0,9402;0,0139;;;;;Invalid date;0,90860928;9,91765E-05
;14--15;;;;;;;;;0,9149;0,005273;0,9929;0,003549;;;;;Invalid date;0,90840421;1,87139E-05
;43--44;;;;;;;;;0,972;0,004295;0,9272;0,01127;;;;;Invalid date;0,9012384;4,84047E-05
;46--47;;;;;;;;;0,9904;0,005149;0,8999;0,007601;;;;;Invalid date;0,89126096;3,91375E-05
;20--27;;;;;;;;;0,953;0,00885;0,9345;0,008091;;;;;Invalid date;0,8905785;7,16054E-05
;4--5;;;;;;;;;0,9263;0,01009;0,9594;0,00638;;;;;Invalid date;0,88869222;6,43742E-05
;3--4;;;;;;;;;0,9572;0,006922;0,9275;0,01249;;;;;Invalid date;0,887803;8,64558E-05
;36--37;;;;;;;;;0,9658;0,004422;0,9043;0,01083;;;;;Invalid date;0,87337294;4,78903E-05
;21--36;;;;;;;;;0,9062;0,0066;0,9539;0,007886;;;;;Invalid date;0,86442418;5,20476E-05
;35--36;;;;;;;;;0,9613;0,0117;0,8838;0,005315;;;;;Invalid date;0,84959694;6,21855E-05
;31--32;;;;;;;;;0,8948;0,005981;0,948;0,008786;;;;;Invalid date;0,8482704;5,25491E-05
;34--35;;;;;;;;;0,8645;0,01014;0,9663;0,01222;;;;;Invalid date;0,83536635;0,000123911
;6--7;;;;;;;;;0,9077;0,004511;0,9183;0,01317;;;;;Invalid date;0,83354091;5,94099E-05
;13--14;;;;;;;;;0,8485;0,01131;0,9782;0,003939;;;;;Invalid date;0,8300027;4,45501E-05
;20--21;;;;;;;;;0,8903;0,004717;0,9071;0,004702;;;;;Invalid date;0,80759113;2,21793E-05
;33--34;;;;;;;;;0,8565;0,01022;0,9365;0,007977;;;;;Invalid date;0,80211225;8,15249E-05
;16--17;;;;;;;;;0,9106;0,002886;0,8796;0,005709;;;;;Invalid date;0,80096376;1,64762E-05
;12--13;;;;;;;;;0,8885;0,004789;0,8496;0,008467;;;;;Invalid date;0,7548696;4,05485E-05
;23--24;;;;;;;;;0,8462;0,01188;0,8709;0,007146;;;;;Invalid date;0,73695558;8,48945E-05
;0--7;;;;;;;;;0,8424;0,006438;0,8738;0,006061;;;;;Invalid date;0,73608912;3,90207E-05
;2--3;;;;;;;;;0,8466;0,00861;0,8653;0,006742;;;;;Invalid date;0,73256298;5,80486E-05
;45--46;;;;;;;;;0,7267;0,01671;0,9866;0,004133;;;;;Invalid date;0,71696222;6,90624E-05
;11--12;;;;;;;;;0,8437;0,01338;0,8457;0,01091;;;;;Invalid date;0,71351709;0,000145976
;2--15;;;;;;;;;0,8498;0,00961;0,8267;0,01072;;;;;Invalid date;0,70252966;0,000103019
;0--1;;;;;;;;;0,8519;0,006108;0,8115;0,01072;;;;;Invalid date;0,69131685;6,54778E-05
;1--16;;;;;;;;;0,8296;0,009259;0,8317;0,008826;;;;;Invalid date;0,68997832;8,17199E-05
;24--25;;;;;;;;;0,855;0,00982;0,7954;0,01368;;;;;Invalid date;0,680067;0,000134338
;32--45;;;;;;;;;0,8483;0,007864;0,7815;0,01688;;;;;Invalid date;0,66294645;0,000132744
;1--2;;;;;;;;;0,7354;0,01074;0,8408;0,00955;;;;;Invalid date;0,61832432;0,000102567
;12--25;;;;;;;;;;;0,9407;0,008586;;;;;Invalid date;0;0
;15--16;;;;;;;;;0,8541;0,008672;;;;;;;Invalid date;0;0
;21--22;;;;;;;;;;;0,8474;0,009367;;;;;Invalid date;0;0
;30--31;;;;;;;;;;;0,8439;0,01028;;;;;Invalid date;0;0
;30--37;;;;;;;;;;;0,905;0,005865;;;;;Invalid date;0;0
;42--43;;;;;;;;;;;0,9058;0,005979;;;;;Invalid date;0;0
0;;24.92;0.6386;0.9980;0.0001186;0.9731;0.001475;0.9650;0.9730;;;;;;;;;Invalid date;;
1;;37.68;20.16;0.9969;0.0004769;0.9985;0.0002647;0.9940;0.9485;;;;;;;;;Invalid date;;
2;;13.78;4.748;0.9981;0.0002748;0.9937;0.0003967;0.9905;0.9115;;;;;;;;;Invalid date;;
3;;39.07;9.953;0.9994;0.0004021;0.9978;0.0001459;0.9835;0.9255;;;;;;;;;Invalid date;;
4;;13.79;7.052;0.9964;0.00007992;0.9938;0.0004323;0.9990;0.9705;;;;;;;;;Invalid date;;
5;;36.43;26.01;0.9993;0.0004081;0.9979;0.0002352;0.9695;0.9550;;;;;;;;;Invalid date;;
6;;6.332;8.732;0.9980;0.0001789;0.9963;0.0002193;0.9960;0.9740;;;;;;;;;Invalid date;;
7;;21.78;13.97;0.9988;0.0003699;0.9974;0.0001885;0.9760;0.9285;;;;;;;;;Invalid date;;
10;;25.23;17.71;0.9979;0.0002221;0.9947;0.0001551;0.9955;0.9415;;;;;;;;;Invalid date;;
11;;173.0;8.830;0.9986;0.0001349;0.9979;0.00009716;0.9960;0.9415;;;;;;;;;Invalid date;;
12;;29.58;10.65;0.9993;0.00009967;0.9955;0.0001628;0.9995;0.9610;;;;;;;;;Invalid date;;
13;;43.36;23.58;0.9995;0.0003593;0.9829;0.002058;0.9760;0.9020;;;;;;;;;Invalid date;;
14;;21.21;15.86;0.9988;0.0001685;0.9621;0.004301;0.9025;0.9285;;;;;;;;;Invalid date;;
15;;28.35;18.21;0.9986;0.0001564;0.9815;0.001344;0.9970;0.9270;;;;;;;;;Invalid date;;
16;;17.33;0.2766;0.9902;0.0007553;0.9593;0.003393;0.8070;0.9450;;;;;;;;;Invalid date;;
17;;37.70;14.85;0.9979;0.0006087;0.9977;0.00009354;0.9505;0.8905;;;;;;;;;Invalid date;;
20;;20.36;8.247;0.9930;0.0004326;0.9977;0.0001183;0.9985;0.9640;;;;;;;;;Invalid date;;
21;;47.19;15.03;0.9971;0.001101;0.9947;0.0006019;0.9855;0.8940;;;;;;;;;Invalid date;;
22;;35.79;1.066;0.9699;0.007690;0.9959;0.0004149;0.9945;0.9630;;;;;;;;;Invalid date;;
23;;38.69;15.63;0.9871;0.001746;0.9970;0.0002849;0.9345;0.9500;;;;;;;;;Invalid date;;
24;;41.87;7.146;0.9985;0.0001521;0.9978;0.0001735;0.9915;0.9590;;;;;;;;;Invalid date;;
