Qubit;Pair;T1 (µs);T2 (µs);f1QRB;f1QRB std err;f1Q sim. RB;f1Q sim. RB std err;fActiveReset;fRO;fXY;fXY std err;fCZ;fCZ std err;Avg T1 (µs);Avg T2 (µs);Avg fActiveReset;Avg fRO;Date;;fXYxfCZ;std
;15--16;;;;;;;;;0,9862;0,007252;0,9911;0,002648;;;;;Invalid date;;0,97742282;1,92033E-05
;110--111;;;;;;;;;0,9948;0,004032;0,9817;0,004221;;;;;Invalid date;;0,97659516;1,70191E-05
;30--37;;;;;;;;;0,9883;0,003219;0,9848;0,004425;;;;;Invalid date;;0,97327784;1,42441E-05
;17--114;;;;;;;;;0,9835;0,0029;0,9884;0,00317;;;;;Invalid date;;0,9720914;0,000009193
;10--11;;;;;;;;;0,9892;0,00328;0,982;0,00324;;;;;Invalid date;;0,9713944;1,06272E-05
;24--25;;;;;;;;;0,9852;0,00442;0,983;0,002712;;;;;Invalid date;;0,9684516;1,1987E-05
;122--123;;;;;;;;;0,9805;0,003941;0,9856;0,00291;;;;;Invalid date;;0,9663808;1,14683E-05
x;21--36;;;;;;;;;0,9771;0,004947;0,9828;0,003775;;;;;Invalid date;;0,96029388;1,86749E-05
;30--31;;;;;;;;;0,9867;0,002954;0,9728;0,004039;;;;;Invalid date;;0,95986176;1,19312E-05
;23--24;;;;;;;;;0,9843;0,002524;0,9699;0,004244;;;;;Invalid date;;0,95467257;1,07119E-05
;34--35;;;;;;;;;0,9789;0,002569;0,9749;0,003227;;;;;Invalid date;;0,95432961;8,29016E-06
;120--121;;;;;;;;;0,9724;0,005077;0,9811;0,003572;;;;;Invalid date;;0,95402164;1,8135E-05
;36--37;;;;;;;;;0,9723;0,00551;0,9788;0,006495;;;;;Invalid date;;0,95168724;3,57875E-05
;146--147;;;;;;;;;0,9675;0,00478;0,9811;0,00397;;;;;Invalid date;;0,94921425;1,89766E-05
;6--7;;;;;;;;;0,9869;0,002774;0,9614;0,01231;;;;;Invalid date;;0,94880566;3,41479E-05
;10--17;;;;;;;;;0,9851;0,003285;0,963;0,005433;;;;;Invalid date;;0,9486513;1,78474E-05
x;22--35;;;;;;;;;0,983;0,005594;0,9635;0,005461;;;;;Invalid date;;0,9471205;3,05488E-05
;35--36;;;;;;;;;0,9784;0,004839;0,9674;0,00634;;;;;Invalid date;;0,94650416;3,06793E-05
;5--6;;;;;;;;;0,9623;0,006187;0,9829;0,00306;;;;;Invalid date;;0,94584467;1,89322E-05
;16--17;;;;;;;;;0,9683;0,00462;0,9761;0,00572;;;;;Invalid date;;0,94515763;2,64264E-05
;131--146;;;;;;;;;0,9768;0,004545;0,9663;0,005152;;;;;Invalid date;;0,94388184;2,34158E-05
;112--113;;;;;;;;;0,9595;0,007146;0,9821;0,003054;;;;;Invalid date;;0,94232495;2,18239E-05
;40--47;;;;;;;;;0,9759;0,005161;0,964;0,007412;;;;;Invalid date;;0,9407676;3,82533E-05
;111--112;;;;;;;;;0,9636;0,005013;0,9754;0,00356;;;;;Invalid date;;0,93989544;1,78463E-05
;42--43;;;;;;;;;0,9778;0,006391;0,9604;0,00695;;;;;Invalid date;;0,93907912;4,44175E-05
;132--133;;;;;;;;;0,9711;0,003661;0,9664;0,00862;;;;;Invalid date;;0,93847104;3,15578E-05
;40--41;;;;;;;;;0,9782;0,003373;0,9589;0,007643;;;;;Invalid date;;0,93799598;2,57798E-05
;1--16;;;;;;;;;0,9759;0,01216;0,9602;0,008851;;;;;Invalid date;;0,93705918;0,000107628
;0--103;;;;;;;;;0,9467;0,0274;0,9875;0,01877;;;;;Invalid date;;0,93486625;0,000514298
;121--122;;;;;;;;;0,971;0,004904;0,9624;0,009932;;;;;Invalid date;;0,9344904;4,87065E-05
;132--145;;;;;;;;;0,9678;0,005289;0,9641;0,009527;;;;;Invalid date;;0,93305598;5,03883E-05
;47--144;;;;;;;;;0,9825;0,003893;0,9489;0,009455;;;;;Invalid date;;0,93229425;3,68083E-05
;130--137;;;;;;;;;0,9543;0,006852;0,965;0,006651;;;;;Invalid date;;0,9208995;4,55727E-05
x;21--22;;;;;;;;;0,9727;0,004933;0,9456;0,01081;;;;;Invalid date;;0,91978512;5,33257E-05
;112--125;;;;;;;;;0,9553;0,007171;0,9622;0,005921;;;;;Invalid date;;0,91918966;4,24595E-05
;100--101;;;;;;;;;0,9734;0,008233;0,9429;0,00926;;;;;Invalid date;;0,91781886;7,62376E-05
;30--133;;;;;;;;;0,9542;0,01122;0,9615;0,007799;;;;;Invalid date;;0,9174633;8,75048E-05
;10--113;;;;;;;;;0,9484;0,01134;0,9642;0,00739;;;;;Invalid date;;0,91444728;8,38026E-05
;136--137;;;;;;;;;0,9545;0,007366;0,9558;0,0072;;;;;Invalid date;;0,9123111;5,30352E-05
;130--131;;;;;;;;;0,9731;0,004622;0,9359;0,01347;;;;;Invalid date;;0,91072429;6,22583E-05
;31--32;;;;;;;;;0,9561;0,007369;0,9511;0,005633;;;;;Invalid date;;0,90934671;4,15096E-05
;32--45;;;;;;;;;0,9683;0,006372;0,9383;0,009429;;;;;Invalid date;;0,90855589;6,00816E-05
;26--27;;;;;;;;;0,9582;0,006211;0,9376;0,01039;;;;;Invalid date;;0,89840832;6,45323E-05
;40--143;;;;;;;;;0,9565;0,009119;0,9344;0,008821;;;;;Invalid date;;0,8937536;8,04387E-05
;100--107;;;;;;;;;0,9613;0,00457;0,9201;0,01122;;;;;Invalid date;;0,88449213;5,12754E-05
;113--114;;;;;;;;;0,9821;0,003366;0,8972;0,009936;;;;;Invalid date;;0,88114012;3,34446E-05
;141--142;;;;;;;;;0,8912;0,01867;0,9861;0,003751;;;;;Invalid date;;0,87881232;7,00312E-05
;114--115;;;;;;;;;0,9801;0,005902;0,8965;0,01752;;;;;Invalid date;;0,87865965;0,000103403
;0--7;;;;;;;;;0,9839;0,003251;0,8927;0,00504;;;;;Invalid date;;0,87832753;1,6385E-05
;33--34;;;;;;;;;0,982;0,003208;0,8931;0,007251;;;;;Invalid date;;0,8770242;2,32612E-05
;145--146;;;;;;;;;0,9711;0,004468;0,8982;0,005712;;;;;Invalid date;;0,87224202;2,55212E-05
;131--132;;;;;;;;;0,894;0,007392;0,9704;0,006159;;;;;Invalid date;;0,8675376;4,55273E-05
;121--136;;;;;;;;;0,9833;0,00688;0,8794;0,007766;;;;;Invalid date;;0,86471402;5,34301E-05
;41--42;;;;;;;;;0,9748;0,006639;0,8778;0,006341;;;;;Invalid date;;0,85567944;4,20979E-05
;37--134;;;;;;;;;0,9743;0,003801;0,8759;0,007575;;;;;Invalid date;;0,85338937;2,87926E-05
;11--26;;;;;;;;;0,8722;0,006336;0,9784;0,006403;;;;;Invalid date;;0,85336048;4,05694E-05
;102--103;;;;;;;;;0,8887;0,005376;0,9556;0,007674;;;;;Invalid date;;0,84924172;4,12554E-05
;142--143;;;;;;;;;0,8846;0,007265;0,9586;0,006562;;;;;Invalid date;;0,84797756;4,76729E-05
;14--15;;;;;;;;;0,9642;0,00523;0,8779;0,008908;;;;;Invalid date;;0,84647118;4,65888E-05
;144--145;;;;;;;;;0,9836;0,005012;0,8568;0,01246;;;;;Invalid date;;0,84274848;6,24495E-05
;32--33;;;;;;;;;0,878;0,01493;0,9523;0,008728;;;;;Invalid date;;0,8361194;0,000130309
;25--26;;;;;;;;;0,9139;0,005005;0,912;0,01108;;;;;Invalid date;;0,8334768;5,54554E-05
;22--23;;;;;;;;;0,8879;0,006113;0,9314;0,01753;;;;;Invalid date;;0,82699006;0,000107161
;4--5;;;;;;;;;0,9025;0,01478;0,9027;0,005279;;;;;Invalid date;;0,81468675;7,80236E-05
;101--116;;;;;;;;;0,9804;0,003118;0,8268;0,0179;;;;;Invalid date;;0,81059472;5,58122E-05
;13--14;;;;;;;;;0,8724;0,00638;0,9151;0,004578;;;;;Invalid date;;0,79833324;2,92076E-05
;143--144;;;;;;;;;0,943;0,009295;0,8422;0,009091;;;;;Invalid date;;0,7941946;8,45008E-05
;11--12;;;;;;;;;0,8773;0,005339;0,9021;0,005622;;;;;Invalid date;;0,79141233;3,00159E-05
;27--124;;;;;;;;;0,8929;0,004036;0,8813;0,005137;;;;;Invalid date;;0,78691277;2,07329E-05
;110--117;;;;;;;;;0,869;0,006759;0,8937;0,005158;;;;;Invalid date;;0,7766253;3,48629E-05
;120--127;;;;;;;;;0,9621;0,007161;0,8053;0,01687;;;;;Invalid date;;0,77477913;0,000120806
;115--116;;;;;;;;;0,9345;0,0112;0,8286;0,01516;;;;;Invalid date;;0,7743267;0,000169792
;0--1;;;;;;;;;0,8434;0,01895;0,9167;0,01746;;;;;Invalid date;;0,77314478;0,000330867
;12--25;;;;;;;;;0,9511;0,008911;0,8059;0,0114;;;;;Invalid date;;0,76649149;0,000101585
;140--141;;;;;;;;;0,8637;0,008052;0,8734;0,008281;;;;;Invalid date;;0,75435558;6,66786E-05
;111--126;;;;;;;;;0,8775;0,004944;0,8566;0,008041;;;;;Invalid date;;0,7516665;3,97547E-05
;123--124;;;;;;;;;0,8421;0,007817;0,8724;0,006785;;;;;Invalid date;;0,73464804;5,30383E-05
;116--117;;;;;;;;;0,8308;0,008606;0,8621;0,00597;;;;;Invalid date;;0,71623268;5,13778E-05
;126--127;;;;;;;;;0,8729;0,00515;0,818;0,01107;;;;;Invalid date;;0,7140322;5,70105E-05
;134--135;;;;;;;;;0,8231;0,01217;0,8645;0,005983;;;;;Invalid date;;0,71156995;7,28131E-05
;101--102;;;;;;;;;0,8404;0,01428;0,8467;0,01567;;;;;Invalid date;;0,71156668;0,000223768
;44--45;;;;;;;;;0,8024;0,01053;0,872;0,005416;;;;;Invalid date;;0,6996928;5,70305E-05
;43--44;;;;;;;;;0,8584;0,005647;0,8142;0,01131;;;;;Invalid date;;0,69890928;6,38676E-05
;102--115;;;;;;;;;0,8272;0,01404;0,8416;0,02257;;;;;Invalid date;;0,69617152;0,000316883
;20--27;;;;;;;;;0,8583;0,007423;0,8092;0,007495;;;;;Invalid date;;0,69453636;5,56354E-05
;31--46;;;;;;;;;0,8385;0,00974;0,8251;0,006263;;;;;Invalid date;;0,69184635;6,10016E-05
;124--125;;;;;;;;;0,7824;0,01172;0,8789;0,005063;;;;;Invalid date;;0,68765136;5,93384E-05
;105--106;;;;;;;;;0,8169;0,008022;0,8386;0,01164;;;;;Invalid date;;0,68505234;9,33761E-05
;103--104;;;;;;;;;0,8381;0,01262;0,8136;0,01474;;;;;Invalid date;;0,68187816;0,000186019
;20--21;;;;;;;;;0,796;0,01141;0,836;0,009308;;;;;Invalid date;;0,665456;0,000106204
;12--13;;;;;;;;;0,8254;0,008412;0,8025;0,01226;;;;;Invalid date;;0,6623835;0,000103131
;20--123;;;;;;;;;0,6937;0,02188;0,7882;0,01187;;;;;Invalid date;;0,54677434;0,000259716
;1--2;;;;;;;;;;;0,8191;0,01303;;;;;Invalid date;;0;0
;2--3;;;;;;;;;;;;;;;;;Invalid date;;0;0
;2--15;;;;;;;;;;;0,8302;0,01276;;;;;Invalid date;;0;0
;3--4;;;;;;;;;0,8224;0,01402;;;;;;;Invalid date;;0;0
;7--104;;;;;;;;;;;;;;;;;Invalid date;;0;0
;45--46;;;;;;;;;0,8193;0,01197;;;;;;;Invalid date;;0;0
;46--47;;;;;;;;;;;0,8352;0,01178;;;;;Invalid date;;0;0
;104--105;;;;;;;;;;;;;;;;;Invalid date;;0;0
;106--107;;;;;;;;;;;0,8877;0,006458;;;;;Invalid date;;0;0
;122--135;;;;;;;;;0,8194;0,01397;;;;;;;Invalid date;;0;0
;125--126;;;;;;;;;0,9033;0,003765;;;;;;;Invalid date;;0;0
;133--134;;;;;;;;;0,9637;0,004249;;;;;;;Invalid date;;0;0
;135--136;;;;;;;;;0,8792;0,00439;;;;;;;Invalid date;;0;0
